"species_code","ssid","raw_species","raw_common","aphiaID"
"0189577c-3ff0-7770-9444-8680a9089e37","wc","Falco","",NA
"0189577c-3cd5-73fc-b88c-9e36a4565d90","wc","Calcariidae","",NA
"0189577c-3dd7-7717-9a38-1803a870e7cf","wc","Calcarius","",NA
"0189577c-3ca2-7417-b227-2841b1e2aea8","wc","Corvidae","",NA
"0189577c-3d9c-75f7-80ec-b2fddcad98b1","wc","Corvus","",NA
"0189577c-3c86-71bb-9731-2dd623db037d","wc","Emberizidae","",NA
"0189577c-3e0d-74e3-878c-b6c812da1d5b","wc","Emberiza","",NA
"0189577c-3f3c-73e9-ba9c-debf7bf67b1c","wc","Emberiza rustica","rustic bunting",NA
"0189577c-3e41-7db6-95be-e24ecdee465b","wc","Haemorhous","",NA
"0189577c-3fc2-7606-9d1e-9d4f4f87a7e2","wc","Haemorhous mexicanus","house finch",NA
"0189577c-3d84-73b9-a78b-95c545e9e8ca","wc","Euphagus","",NA
"0189577c-3cb2-7b0f-bc3a-86d006c83522","wc","Motacillidae","",NA
"0189577c-3d2c-7097-8b70-01f823677b0b","wc","Anthus","",NA
"0189577c-3e2b-7808-9140-566d3081b2ee","wc","Motacilla","",NA
"0189577c-3bfc-7664-b6ac-e704147fdf69","wc","Muscicapidae","",NA
"0189577c-3c98-7171-a0d7-48739f9aed50","wc","Parulidae","",NA
"0189577c-3e27-7958-8d6c-6226ecf889fc","wc","Cardellina","",NA
"0189577c-3fce-734a-a6bd-b58685f2d263","wc","Cardellina pusilla","wilsons warbler",NA
"0189577c-3c2f-75d1-abec-3b943a0e4b8e","wc","Prunellidae","",NA
"0189577c-3e04-7e1f-b49a-b4c7d25598bf","wc","Prunella","",NA
"0189577c-3f58-7691-9fa3-b304d11291bf","wc","Prunella montanella","siberian accentor",NA
"0189577c-3c4c-77bf-839f-6cb20310ffbb","wc","Sylviidae","sylviid babbler",NA
"0189577c-3b97-75dc-955a-690ab0dda720","wc","Suliformes","",NA
