species_code,ssid,raw_species,raw_common,aphiaID,TSN
10400,ak,Symphurus atricaudus,California tonguefish,305635,173077
10400,ak,Symphurus atricauda,California tonguefish,305635,173077
20000,ak,Agonidae,poacher,125588,167426
20001,ak,Pallasina barbata,tubenose poacher,254396,167462
20002,ak,Percis japonica,dragon poacher,254389,NA
20004,ak,Leptagonus,,126145,167477
20005,ak,Sarritor leptorhynchus,longnose poacher,254376,167465
20006,ak,Sarritor frenatus,sawback poacher,254374,167464
20007,ak,Leptagonus decagonus,Atlantic poacher,127191,167478
20015,ak,Agonopsis vulsa,northern spearnose poacher,279522,167428
20018,ak,Odontopyxis trispinosa,pygmy poacher,281836,167460
20020,ak,Xeneretmus latifrons,blacktip poacher,283171,167467
20021,ak,Xeneretmus triacanthus,bluespotted poacher,283174,167468
20022,ak,Xeneretmus leiops,smootheye poacher,283172,167469
20023,ak,Xeneretmus,,271228,167466
20034,ak,Bathyagonus,starsnout poacher,254303,167444
20035,ak,Bathyagonus alascanus,gray starsnout,254503,167448
20036,ak,Bathyagonus infraspinatus,spinycheek starsnout,254504,167449
20037,ak,Bathyagonus pentacanthus,bigeye poacher,254506,167450
20038,ak,Bathyagonus nigripinnis,blackfin poacher,254505,167445
20039,ak,Podothecus,,254386,167480
20040,ak,Podothecus accipenserinus,sturgeon poacher,254501,644358
20041,ak,Podothecus veternus,veteran poacher,254509,644362
20050,ak,Aspidophoroides monopterygius,Aleutian alligatorfish,159459,167439
20051,ak,Aspidophoroides olrikii,Arctic alligatorfish,309268,692156
20051,ak,Ulcina olrikii,Arctic alligatorfish,309268,692156
20055,ak,Anoplagonus inermis,smooth alligatorfish,279630,167434
20060,ak,Chesnonia verrucosa,warty poacher,254507,643895
20061,ak,Occella dodecaedron,Bering poacher,254398,167456
20071,ak,Hypsagonus quadricornis,fourhorn poacher,254508,167452
20075,ak,Stellerina xyosterna,pricklebreast poacher,254366,167472
20100,ak,Alepocephalidae,slickhead,125507,162303
20105,ak,Asquamiceps caeruleus,caerulean slickhead,272852,623350
20110,ak,Alepocephalus,,125868,162308
20120,ak,Alepocephalus tenebrosus,California slickhead,272849,162316
20121,ak,Bajacalifornia burragei,sharpchin slickhead,272857,162350
20122,ak,Bajacalifornia megalops,,126687,623328
20130,ak,Rouleina attrita,softskin slickhead,126709,162335
20150,ak,Talismania bifurcata,threadfin slickhead,272884,182875
20179,ak,Maulisia,,125902,182861
20180,ak,Maulisia mauli,,126742,182862
20181,ak,Maulisia argipalla,pitted tubeshoulder,126741,623391
20202,ak,Ammodytes,sand lance,125909,171671
20203,ak,Ammodytes hexapterus,Arctic sand lance,254510,171672
20204,ak,Ammodytes personatus,Pacific sand lance,272967,630414
20320,ak,Anarrhichthys ocellatus,wolf-eel,279605,171345
20322,ak,Anarhichas orientalis,Bering wolffish,254511,171337
20420,ak,Anoplogaster cornuta,fangtooth,126393,166152
20510,ak,Anoplopoma fimbria,sablefish,159463,167123
20542,ak,Aulorhynchus flavidus,tube-snout,279839,166404
20570,ak,Argentiniformes,marine smelts,1321884,NA
20571,ak,Argentinidae,argentine,125508,162057
20572,ak,Nansenia candida,bluethroat argentine,272926,162059
20573,ak,Argentina sialis,Pacific argentine,272897,162068
20575,ak,Atherinidae,silverside,125438,165984
20576,ak,Atherinops affinis,topsmelt,279812,165986
20577,ak,Atherinopsis californiensis,jacksmelt,279813,166012
20610,ak,Engraulis mordax,northern anchovy,272286,161828
20614,ak,Bathylagidae,deepsea smelt,125509,162080
20615,ak,Bathylagus pacificus,Pacific blacksmelt,272919,162086
20619,ak,Bathylagus,blacksmelt,125888,162081
20620,ak,Pseudobathylagus milleri,robust blacksmelt,282406,623626
20622,ak,Leuroglossus schmidti,northern smoothtongue,254551,162098
20624,ak,Lipolagus ochotensis,popeye blacksmelt,281374,623625
20660,ak,Leuroglossus,,254349,162095
20662,ak,Leuroglossus stilbius,California smoothtongue,313514,162096
20700,ak,Bathymasteridae,ronquil,151388,170945
20702,ak,Ronquilus jordani,northern ronquil,282629,170951
20712,ak,Bathymaster caeruleofasciatus,Alaskan ronquil,279415,170947
20713,ak,Bathymaster leurolepis,smallmouth ronquil,254512,170948
20720,ak,Bathymaster signatus,searcher,254513,170949
20722,ak,Bathymaster derjugini,bluecheek ronquil,279416,631003
20731,ak,Rathbunella hypoplecta,smooth ronquil,282556,170954
20801,ak,Porichthys notatus,plainfin midshipman,275658,164414
20802,ak,Porichthys,,158783,164413
20803,ak,Batrachoididae,toadfishes,125450,164412
20842,ak,Brama japonica,Pacific pomfret,273148,170289
20871,ak,Bathylaco nigricans,bonythroat,126688,162367
20900,ak,Ophidiidae,cusk-eel,125505,164807
20901,ak,Chilara taylori,spotted cusk-eel,280146,165006
20902,ak,Ophidion scrippsae,basketweave cusk-eel,272835,164856
20905,ak,Lamprogrammus niger,paperbone cusk-eel,126672,164933
20908,ak,Dicrolene,,159129,164907
20910,ak,Dicrolene filamentosa,threadfin cusk-eel,275892,164910
20915,ak,Melanonus zugmayeri,arrowtail,126483,164746
20916,ak,Bassozetus zenkevitchi,pelagic assfish,272795,165316
20920,ak,Cataetyx,,125849,164898
20921,ak,Cataetyx rubrirostris,rubynose brotula,272767,164905
20930,ak,Brosmophycis marginata,red brotula,280000,164809
20952,ak,Trachurus symmetricus,jack mackerel,273305,168586
20960,ak,Ogcocephalioidei,,154158,164610
20960,ak,Ceratioidei,,154158,164610
20971,ak,Melanocetus johnsonii,common blackdevil,126556,622873
20980,ak,Ceratiidae,seadevils,125487,164653
20981,ak,Cryptopsaras couesii,triplewart seadevil,126538,623188
20990,ak,Cetomimidae,flabby whalefishes,125460,162785
20995,ak,Rondeletia loricata,armored redmouth whalefish,126412,162800
21000,ak,Chauliodontinae,viperfish,154226,622321
21009,ak,Chauliodus,,126205,162278
21010,ak,Chauliodus macouni,Pacific viperfish,275055,162279
21110,ak,Clupea pallasii,Pacific herring,151159,551209
21120,ak,Alosa sapidissima,American shad,158670,161702
21130,ak,Sardinops sagax,Pacific sardine,217452,161729
21150,ak,Gigantactis,,125798,164643
21200,ak,Macrouridae,grenadier,125471,165332
21201,ak,Nezumia stelgidolepis,California grenadier,272428,165400
21202,ak,Nezumia liolepis,smooth grenadier,272416,550639
21204,ak,Caelorinchus scaphopsis,shoulderspot grenadier,280334,649751
21204,ak,Coelorinchus scaphopsis,shoulderspot grenadier,280334,649751
21210,ak,Coryphaenoides,,125748,165333
21220,ak,Coryphaenoides acrolepis,Pacific grenadier,272313,165334
21230,ak,Albatrossia pectoralis,giant grenadier,236135,165427
21232,ak,Coryphaenoides cinereus,popeye grenadier,272326,165335
21238,ak,Coryphaenoides filifer,filamented grenadier,272331,649753
21239,ak,Coryphaenoides longifilis,longfin grenadier,272336,550623
21240,ak,Malacocephalus laevis,softhead grenadier,272392,165389
21300,ak,Cottidae,sculpin,125589,167196
21305,ak,Zesticelus profundorum,flabby sculpin,283218,167378
21307,ak,Icelinus,,269476,167290
21308,ak,Thyriscus anoplus,sponge sculpin,282971,167367
21309,ak,Icelinus oculatus,frogmouth sculpin,281139,167295
21310,ak,Icelinus filamentosus,threadfin sculpin,281136,167293
21311,ak,Icelinus borealis,northern sculpin,281133,167291
21312,ak,Icelinus tenuis,spotfin sculpin,281142,167294
21313,ak,Gymnocanthus,,126149,167271
21314,ak,Gymnocanthus pistilliger,threaded sculpin,254519,167274
21315,ak,Gymnocanthus tricuspis,Arctic staghorn sculpin,127198,167275
